Filename,Salt+Pepper,Orientation,Saturation,Green detected,Yellow detected,Red detected,Speed detected,Distance,Green actual,Yellow actual,Red actual,Speed actual
100close,0,0,0,0,0,0,100,close,0,0,0,100
100close,0.05,0,0,0,0,0,100,close,0,0,0,100
100close,0.1,0,0,0,0,0,100,close,0,0,0,100
100close,0.15,0,0,0,0,0,100,close,0,0,0,100
100close,0.2,0,0,0,0,0,100,close,0,0,0,100
100close,0,0,5,0,0,0,100,close,0,0,0,100
100close,0,0,10,0,0,0,100,close,0,0,0,100
100close,0,0,15,0,0,0,100,close,0,0,0,100
100close,0,0,20,0,0,0,100,close,0,0,0,100
100close,0,0,25,0,0,0,100,close,0,0,0,100
100close,0,2,0,0,0,0,100,close,0,0,0,100
100close,0,4,0,0,0,0,100,close,0,0,0,100
100close,0,6,0,0,0,0,100,close,0,0,0,100
100close,0,8,0,0,0,0,100,close,0,0,0,100
100close,0,10,0,0,0,0,100,close,0,0,0,100
100far,0,0,0,0,0,0,100,far,0,0,0,100
100far,0.05,0,0,0,0,0,None,far,0,0,0,100
100far,0.1,0,0,0,0,0,None,far,0,0,0,100
100far,0.15,0,0,0,0,0,None,far,0,0,0,100
100far,0.2,0,0,0,0,0,None,far,0,0,0,100
100far,0,0,5,0,0,0,100,far,0,0,0,100
100far,0,0,10,0,0,0,100,far,0,0,0,100
100far,0,0,15,0,0,0,100,far,0,0,0,100
100far,0,0,20,0,0,0,100,far,0,0,0,100
100far,0,0,25,0,0,0,100,far,0,0,0,100
100far,0,2,0,0,0,0,None,far,0,0,0,100
100far,0,4,0,0,0,0,None,far,0,0,0,100
100far,0,6,0,0,0,0,None,far,0,0,0,100
100far,0,8,0,0,0,0,None,far,0,0,0,100
100far,0,10,0,0,0,0,None,far,0,0,0,100
100medium,0,0,0,0,0,0,100,medium,0,0,0,100
100medium,0.05,0,0,0,0,0,100,medium,0,0,0,100
100medium,0.1,0,0,0,0,0,100,medium,0,0,0,100
100medium,0.15,0,0,0,0,0,None,medium,0,0,0,100
100medium,0.2,0,0,0,0,0,None,medium,0,0,0,100
100medium,0,0,5,0,0,0,100,medium,0,0,0,100
100medium,0,0,10,0,0,0,100,medium,0,0,0,100
100medium,0,0,15,0,0,0,100,medium,0,0,0,100
100medium,0,0,20,0,0,0,100,medium,0,0,0,100
100medium,0,0,25,0,0,0,100,medium,0,0,0,100
100medium,0,2,0,0,0,0,100,medium,0,0,0,100
100medium,0,4,0,0,0,0,100,medium,0,0,0,100
100medium,0,6,0,0,0,0,100,medium,0,0,0,100
100medium,0,8,0,0,0,0,100,medium,0,0,0,100
100medium,0,10,0,0,0,0,100,medium,0,0,0,100
120close,0,0,0,0,0,0,100,close,0,0,0,120
120close,0.05,0,0,0,0,0,100,close,0,0,0,120
120close,0.1,0,0,0,0,0,100,close,0,0,0,120
120close,0.15,0,0,0,0,0,100,close,0,0,0,120
120close,0.2,0,0,0,0,0,100,close,0,0,0,120
120close,0,0,5,0,0,0,100,close,0,0,0,120
120close,0,0,10,0,0,0,100,close,0,0,0,120
120close,0,0,15,0,0,0,100,close,0,0,0,120
120close,0,0,20,0,0,0,100,close,0,0,0,120
120close,0,0,25,0,0,0,100,close,0,0,0,120
120close,0,2,0,0,0,0,100,close,0,0,0,120
120close,0,4,0,0,0,0,100,close,0,0,0,120
120close,0,6,0,0,0,0,100,close,0,0,0,120
120close,0,8,0,0,0,0,100,close,0,0,0,120
120close,0,10,0,0,0,0,100,close,0,0,0,120
120far,0,0,0,0,0,0,None,far,0,0,0,120
120far,0.05,0,0,0,0,0,None,far,0,0,0,120
120far,0.1,0,0,0,0,0,None,far,0,0,0,120
120far,0.15,0,0,0,0,0,100,far,0,0,0,120
120far,0.2,0,0,0,0,0,None,far,0,0,0,120
120far,0,0,5,0,0,0,100,far,0,0,0,120
120far,0,0,10,0,0,0,100,far,0,0,0,120
120far,0,0,15,0,0,0,None,far,0,0,0,120
120far,0,0,20,0,0,0,None,far,0,0,0,120
120far,0,0,25,0,0,0,None,far,0,0,0,120
120far,0,2,0,0,0,0,None,far,0,0,0,120
120far,0,4,0,0,0,0,None,far,0,0,0,120
120far,0,6,0,0,0,0,None,far,0,0,0,120
120far,0,8,0,0,0,0,None,far,0,0,0,120
120far,0,10,0,0,0,0,None,far,0,0,0,120
120medium,0,0,0,0,0,0,100,medium,0,0,0,120
120medium,0.05,0,0,0,0,0,None,medium,0,0,0,120
120medium,0.1,0,0,0,0,0,None,medium,0,0,0,120
120medium,0.15,0,0,0,0,0,None,medium,0,0,0,120
120medium,0.2,0,0,0,0,0,None,medium,0,0,0,120
120medium,0,0,5,0,0,0,100,medium,0,0,0,120
120medium,0,0,10,0,0,0,100,medium,0,0,0,120
120medium,0,0,15,0,0,0,100,medium,0,0,0,120
